country,code,value
Armenia,ARM,1
Brazil,BRA,1
Colombia,COL,1
Egypt,EGY,1
France,FRA,1
Georgia,GEO,1
Greenland,GRL,1
Hong Kong,HK,1
India,IND,1
Indonesia,IDN,1
Italy,ITA,1
Latvia,LVA,1
Libya,LBY,1
Lithuania,LTU,1
Macedonia,MKD,1
Malaysia,MYS,1
Mexico,MEX,1
Netherlands,NLD,1
North Macedonia,MKD,1
Puerto Rico,PRI,1
Romania,ROU,1
Spain,ESP,1
Thailand,THA,1
Turkey,TUR,1
Ukraine,UKR,1
United Kingdom,GBR,1
United States,USA,1
Venezuela,VEN,1
Albania,ALB,1
China,CHN,1
Iran,IRN,1
Israel,ISR,1
Pakistan,PAK,1
Saudi Arabia,SAU,1
Russia, RUS, 1
